name,source,category,directions
Philadelphia Soft Pretzels,Kid's America,bread,"1 c. warm water
2 pkgs active dry yeast
2 T. sugar
3 c. all-purpose flour 
2 t. baking soda
butter or shortening 
1 egg 
coarse salt (kosher salt)

Put the cup of very warm water into the mixing bowl and add the yeast. Stir until the yeast is completely dissolved

Add the sugar and stir. Gradually add the flour and stir. Knead the dough for about 5 minutes and form into a ball.

Let rise in a warm, dark place for at least 30 minutes until double. While dough is rising, heat the oven to 400 fill the pot half full of water, add the baking soda and bring the water to a slow boil. Crease or butter the cookie sheet.

Roll out the dough onto approximate square about 1/4 to 1/16 inch thick. Cut the dough about as wide as your finger. Twist each strip into a pretzel shape and one at a time lower into the boiling water for five to ten seconds.

Place on cookie sheet and coat with a beaten egg. Sprinkle with salt. Bake the pretzels for about 12 -15 minutes or until golden brown.
"
Pigs in a Blanket,Grandma,main,"2 lbs. ground chuck 
3/4 ground pork or pork sausage
2/3 cup rice
1 egg 
1/4 cup onion,

(Brown rice and onion in a little oil)

Boil 2 heads cabbage for 15 minutes so leaves can be taken off easily/ Roll meat in leaves and cook in a large pot--to which has been added 1 can of tomatoes and 1-12 cans water of tomato soup.

Cook for 1 1/2 hours. Also can be baked in oven 325 for 1 1/2 hours.
"
Pineapple Cheesecake,,dessert,"Crust:
2 cups vanilla wafer crumbs 
6 T. butter, softened

Combine wafer crumbs and butter until well blended. Reserve 1/2 cup for topping and press the remaining mixture in bottom of a 9-inch square dish. 

Filling:
2 cups cottage cheese, sieved
1 (8 oz.) package cream cheese.
2 teaspoons vanilla
1/4 teaspoon salt
2 1/2 cups (20 oz. can) crushed pineapple
2 T (2 envelopes) unflavored gelatin
3 egg yolks, slightly beaten 
3/4 cup sugar
1/4 cup milk
3 egg whites

Combine cottage cheese, cream cheese vanilla and salt. Drain pineapple; sprinkle gelatin over pineapple sirup to soften. In a saucepan, combine egg yolks sugar and milk. Cook, stirring constantly until thickened. Stir in gelatin until dissolved. Remove from heat and cool slightly. Stir in cottage cheese mixture and 1 cup of the pineapple. Beat egg whites until stiff but not dry; then fold in the cheese mixture, Pour into prepared dish, sprinkle on reserved crumb mixture and chill overnight. Cut into squares and makes 9 to 12 servings.
"
Pineapple upside Down Cake,Grandma,dessert,"3 T. butter
1 cup brown sugar
1 can crushed pineapple (drained, but save for other)
Mix sugar + butter + melt.

Cake Batter:
1 cup sugar
1 t. vanilla
 1 1/2 c. flour
3 eggs
1/2 cup juice from pineapple
1 1/2 t. baking powder

Beat eggs, mix sugar with eggs. Then add pineapple juice + vanilla. Add flour, baking powder, and beat well.

Put crushed pineapple over melted butter + brown sugar. Pour batter over this. Bake 45 mins at 350°
"
Quiche au Fromage de Gruyere,Julia Child,breakfast,"6-8 slices bacon, medium thickness
1 quart (4 cups) water 
8-inch partially cooked pastry shell, placed on a baking sheet
3 eggs 
1 1/2 - 2 cups milk
1 cup swiss cheese 
1/2 tsp. salt. 
2 T. butter cut into pea-sized dots
pinch of pepper
pinch of nutmeg

Preheat oven to 375. Cut bacon into pieces an inch thick. Simmer for 5 minutes in the water. Rinse in cold water. Dry on paper towels. Brown slightly in a skillet. Press bacon pieces into bottom of shell. Beat the eggs, milk, and cheese, and seasonings in a mixing bowl until blended. Pour into the pastry shell and put the butter pieces or top. 

Set in the upper half of the oven and bake for 25 minutes, or until top of Quiche has puffed and browned.
"
Ramos Fizz,Buena Vista Cafe,drink,"1 tsp. lemon juice 
1 heaping tsp. granulated sugar
2 oz. half and half
1 egg white
1 1/4 oz. gin
2 drops orange flower water
2 oz. soda just before blender.

(For 4 use 1 bottle club soda)
"
Raw Vegetable Dip,,dip,"In choosing your vegetables, mix the conventional (celery, carrots, onions) with the adventuresome (raw sliced turnips, sweet red onion wedges, zucchini sticks). 

1/4 pound blue cheese 
½ large (8oz.) package cream cheese 
3 tablespoons dry vermouth
1 small clove garlic, mashed or minced 
Commercial sour cream 

Combine the blue cheese, cream cheese, vermouth, and garlic. Add enough sour cream to make mixture thin enough for dunking the vegetables.
"
Refrigerator Cookies,Grandma,dessert,"4 cups sifted cake flour. 
2 1/2 t. baking powder
3/4 t. salt 
2/3 c. butter or margarine
1 1/2 c. sugar
2 eggs
1 t. vanilla or 4 t. milk

Sift together flour, baking powder and salt. Soften butter and mix with sugar, eggs, and vanilla until creamy. Add flour mixture alternately with milk. Chill. On a lightly floured surface, roll half or third of dough. at a time, keeping rest chilled. Roll to "" thickness and cut into desired shapes. Place on lightly greased cocky sheet. Bake at 400 degrees 8 to 10 minutes or until delicately browned. (2 dozen large cookies.)
"
Rhubarb Cream Pie,Grandma,dessert,"4 cups rhubarb (cut in inch pieces)
3/4 c. sugar 

Combine together.

Make custard: 
2 eggs, well beaten.
1/2 c. sugar
2 T. butter or margarine
2 T. flour

Pour over rhubarb after you put the rhubarb in an unbaked pie crust.
Bake 1 hr. or more at 350.
"
Roquefort Dressing,Lynn Drummey,dressing,"1 c. blue cheese 
1 c. sour cream
1 c. mayonnaise
1 c. cottage cheese (small curd)
1/2 c. buttermilk 
1 T. wine vinegar
1 t. Worcestershire sauce
1/4 t. cayenne pepper 
1 pinch garlic powder
salt to taste

Grind blue cheese medium and add all ingredients together. If too thick, thin down with a bit of milk. Makes 1 qt"
Rum Cake,Jeannie Cogan,dessert,"1 c. chopped pecans or walnuts 
1 18 1/2 yellow cake mix
1 33/4 Oz. instant vanilla pudding
4 eggs
1/2 c. cold water
1/2 c. oil or butter.
1/2 c. dark rum

Glaze:
1/4 lb. butter 
1/4 c. water
1 c. sugar
1/2 c. dark rum

Preheat oven to 325 grease and flour 10"" tube or 12 c. Bundt. Sprinkle nuts over bottom of the pan. Mix cake ingredients. Pour over nuts. Bake 1 hour. Cool. Invert on serving plate, prick top. Drizzle and smooth glaze evenly over top and sides. Repeat until the glaze is used up/

Glaze:

Melt butter in saucepan. Add water and sugar. Boil 5 minutes stirring constantly. Remove from heat. Stir in rum.

Optional: Decorate with Maraschino cherries and border of sugar frosting of whipped cream. Serve with seedless grapes dusted with powdered sugar.

Age four days before eating, covered securely.
"
Salad,,salad,"1 can artichoke hearts 
1 can Del Monte whole beans (drained) 
1 basket tomatoes (small) 

Pour on oil Wine vinegar Clove garlic toss with salt and pepper 

1 can sliced mushrooms 
1 c. chopped parsley
"
Salmon Wellington,Bon Appetit,main,"In the book American Gourmet, Jane and Michael Stern describe beef Wellington as a ""lardaceous dish"" that is ""rich beyond reason."" The pastry-wrapped beef was the ultimate in dinner-party fare in the sixties. In our recreation, salmon fillets cook in frozen puff pastry sheets, which arrived in the seventies.

1 17.3-ounce package frozen puff pastry (2 sheets), thawed 
4 3/4-inch-thick 6-ounce skinless salmon fillets
6 tablespoons minced shallots 
4 tablespoons plus 2 teaspoons chopped fresh tarragon
1 egg beaten to blend (for glaze)

1/2 cup dry white wine
1/2 cup white wine vinegar 
1/2 cup (1 stick) chilled butter, diced

Preheat oven to 425°F. Roll out each pastry sheet on lightly floured surface to 12-inch square. Cut each in half, forming four 12x6-inch rectangles. Place I salmon fillet in center of each rectangle, about 3 inches in from and parallel to 1 short edge. Sprinkle each fillet with salt, pepper, I tablespoon shallots and 1 tablespoon tarragon. Brush edges of rectangles with some glaze. Fold long sides of pastry over fillets. Fold short edge of pastry over fillets and roll up pastry, enclosing fillets. Seal edges of pastry. Place pastries, seam side down, on king sheet. Brush with glaze. Bake pastries until dough is golden brown, about 20 minutes. Remove from oven; let stand 10 minutes.

Meanwhile, boil wine, vinegar and 2 tablespoons shallots in heavy small saucepan until liquid is reduced to 6

tablespoons, about 8 minutes. Remove pan from heat. Add butter piece at a time, whisking until melted before adding next piece. Whisk in 2 teaspoons tarragon. Season sauce with salt and pepper. Cut pastries into thirds. Place sauce and pastries on 4 plates.

Makes 4 servings.
"
Shish-Kabob,Georgia Wright,main,"1/3 cup Worcestershire
1/2 cup olive oil
1/2 cup Mazola
white wine
lemon juice (2 lemons) Tarragon + cider vinegar--more(??!!)
1 tsp. curry
salt
12 pepper corns
onions
garlic salt 
bay leaf--marinate.

Cook and brown for about 10 minutes in broiler or outside BBQ. Serve with peppers, mushrooms, onions, tomatoes, etc.
"
Sloppy Joes,Grandma,main,"1 lb. hamburger
1/4 c. celery (chopped)
1/2 green pepper 
1 med. chopped onion
1 can tomato soup 
1 can water

Brown hamburger, add onion and green pepper, sauté. Add soup, water, celery and cook for 1 hour.
"
Soda Bread,Helen & Ben,bread,"3. c flour
1 t. Salt
1/2 c. sugar.
3 t. baking powder 
1/2 t. soda
1 cup raisins
1 egg
1 cup buttermilk

375°- 1/2 hour, then to 325°
Brush top with margarine.
"
Soda Bread,Grandmommy,bread,"3 cups All Bran
3 cups White Four
1 t. baking soda + 1 t. baking powder
1/2 t. salt
caraway seeds
1 pt. buttermilk

Bake at 350 degrees for one hour.
"
Spice Bars,Grandma,dessert,"Cream:
1/2 c. shortening
1 egg
2 c. flour
1 t. soda

Combine the following and bring to rapid boil:

1 c. sugar
1 c. water
1 c. raisins
1 t. salt
1 t. cinnamon
1/4 t. nutmeg
1/4 t. cloves

Cook for 2 min and then cool.

Add to the egg-butter mixture and mix well. Pour into a greased 9x15 inch pan. Bake at 350 degrees for 25 minutes.

Ice with butter icing while warm or sprinkle with powdered sugar.

Icing:
2 T. soft butter.
2 T. powdered sugar

Mix well add more powd. sugar
with warm milk.
Drop of vanilla
Orange juice
"
Spice Cookies,Grandma,dessert,"Mix:

3/4 c. shortening.
1 c. sugar 
1 egg, unbeaten.
1/4 c. molasses.

Then sift together and stir in
2 c. flour
2 tsp. soda
1 tsp. cinnamon 
3/4 tsp. powdered cloves.
3/4 tsp. powdered ginger

Fix it all together and form into walnut sized balls. Put 2"" apart on greased cooky sheet and bake at 375 for 10-12 minutes.
"
Spinach Lasagna,,main,"One 12 oz. pk. Lasagna noodles
2 T. olive oil 
1 medium onion, chopped 
1/2 Green pepper, chopped
2 cloves garlic, minced or pressed
1 (16 oz) can tomato paste
1 (1 lb. 13 oz) can tomatoes 
1/4 c. fresh chopped parsley
1 T. dry Oregano 
1 bay leaf
pinch of dry chili pepper flakes 
1 (10 oz.) pkg frozen chopped spinach, cooked 
12 oz. Ricotta or cottage cheese 
1 egg 
2 T. grated parmesan cheese
1 t. salt
1/4 t. pepper
6 or 8 oz. slices Mozzarella cheese 
3/4 c. grated Parmesan cheese

Cook lasagna noodles according to package directions (about 15 minutes) Drain and rinse with cold water. Set aside. Heat olive oil, and add onion, green pepper, and garlic; sauté until golden brown, about 5 minutes. Stir in tomato paste, tomatoes, parsley, oregano, bay leaf, salt and chili pepper flakes.

Simmer uncovered about 30 minutes. Combine drained cooked spinach, ricotta. egg, 2 T. parmesan, salt and pepper. Spoon 1/3 of tomato sauce into bottom of a 9 x 13 baking dish. Cover with a layer c of noodles, half of Ricotta filling, half of Mozzarella and half of the remaining Parmesan cheese.

Repeat layers using another 1/3 of sauce, and remaining noodles, ricotta filling and mozzarella. Top with remaining sauce and Parmesan cheese. Bake in a preheated 350 degree oven for 30 to 40 minutes.

8 serving
"
Spinach Soup,Janet Harris,soup,"4 cups broth from corned beef 
1 bay leaf 
3 or 4 cinnamon sticks 
red hot chilies 
1/2 tsp of coriander,allspice, and mustard seed 
1 onion 

Cook corned beef in all of the above
2 pkg frozen spinach 
1 cup sour cream 

Blend in blender."
Stayabed Stew,Florence Cogan,main,"Mix in a casserole dish with a tight lid:

2 lbs. beef stew meat cubed 
*1 can little peas
1 c. sliced carrots
2 chopped onions 
1 t. salt
dash of pepper
1 can of cream of tomato soup thinned with can water (may use celery or mushroom soup)
1 large potato, sliced
*piece of bay leaf

(* These may be omitted.) 

Put in a 275 oven and let cook happily for 5 hours."
Steamed Vegetable Salad with Lemon Dill Dressing,Winter's Wilted Salads,vegetable,"4 t. lemon juice.
1/4 c. + 1 T. virgin olive oil. 
2 t. chopped fresh dill
pinch grated nutmeg
salt and pepper to taste
7 or 8 baby carrots, peeled, split lengthwise
1/2 head broccoli, broken into bite-size florets
1/4 head cauliflower, broken into bite-sized florets 
6 small cherry tomatoes
8 small whole mushrooms

Whisk the lemon juice with the olive oil in a small bowl until the dressing thickens. Add the chopped dill weed, nutmeg, salt and pepper. Whisk to blend. Set aside. Select a plate or platter that will hold the vegetables in a single layer and a skillet just large enough to support the plate on its rim. Arrange the vegetables attractively on the plate. Place the carrots, broccoli and cauliflower closer to the rim of the plate and the tomatoes and mushrooms more toward the center. Sprinkle the vegetables with salt and pepper. Cover the platter with foil a large pot lid or another platter of the same size. Fill the skillet with an inch or two of water and bring to a boil. Place the prepared platter on top of the skilled of simmering water and steam for about 10 minutes, or until the carrots are just tender.

Remove the platter from the steam and uncover. Four any juices that have accumulated on the plate into the dill dressing. Whisk the dressing to make smooth and thick; pour over the veg. Serve hot. Yields 4 side servings, 2 entree servings.
"
Stuffed Mushrooms,Grandma,vegetable,"1/2 lb. sausage meat
1 tsp. grated onion
1/4 cup breadcrumbs.
1/2 tsp. salt 
1/2 tsp. pepper

Wash 18 large fresh mushrooms, dry and remove the stems. Chop stems finely and stir into the sausage mixture. Form into balls and place in mushroom caps. Arrange mushrooms in baking dish (pie pan) and bake at 350 for 20 minutes"
Swedish Meatballs,Lynne Drummy,main,"1/2 lb. ground beef 
1/2 lb. ground pork
1/2 lb. ground veal
2 cups soft whole wheat breadcrumbs --cubed
1/2 cup milk
1 onion peeled and finely chopped
10 T butter. 
2 tsp. salt
2 tsp. paprika 
1 tsp. poultry seasoning 
1 tsp. dry mustard
4 tsp. pepper
3 eggs, beaten. 
1/4 cup flour
1 T, tomato paste 
1 can (10 1/2 oz.) condensed beef bouillon
1 cup commercial sour cream

Have your butcher grind beef, pork, and veal together twice. Soak bread cubes in mild. Squeeze dry and add to beef, pork and veal. Add onion which has been painted in 2 T butter, salt paprika, poultry seasoning, mustard, pepper and eggs. Mix well. Form into about 100 small balls. Brown meatballs in a skillet, a portion at a time, using 1/2 cup butter. As they are browned, transfer them to a bowl. When all meat balls are browned, stir the flour into the pan drippings. Blend in tomato paste and bouillon mixed with enough water to make 2 1/4 cups. Stir over low heat until sauce is thickened. Put the meat balls back and heat for a few minutes. Just before serving stir in the sour cream, blending well. 

Makes 12 servings.
"
Sweet Potato Muffins,"Christina Campbell, Williamsburg",bread,"2 fresh eggs
1 c. milk
1 stick butter
1 1/4 c. granulated sugar 
1 1/2 c. all-purpose flour
1 1/2 c. sweet potatoes, mashed
2 t. baking powder
1 t. cinnamon
1/4 t. nutmeg 
1/4 t. salt
1/2 c. raisins
1/4 c. pecans or walnuts, chopped

Have all ingredients at room temperature.

Cream butter and sugar and sweet potatoes until smooth.
Add eggs. Blend all four ingredients well.

Sift flour, baking powder and spices and add alternately with milk to the egg batter. Do not overmix. Feld in nuts and raisins last. Sprinkle a little cinnamon-sugar on the top before baking. Bake in a greased muffin tin at 400-degrees F. for approx. 25 minutes or until done.

You should get about 2 dozen small muffins from the above batch. Muffins can be frozen and reheated.
"
Tabouleh,,salad,"2 cups bulgur (cracked wheat)
3 1/2 cups chopped parsley 
1 c. chopped fresh mint or 1/4 c. dried mint, crumbled
1/2 c. finely chopped green onion
1/4 c. finely chopped yellow onion
2 large ripe tomatoes, chopped 
2/3 c. fresh lemon juice
1/2 c. olive oil
1 - 2 t. salt 
1/8 t. white pepper
Dash ground cinnamon

1. Wash bulgur. Place in large bowl. Add enough hot water to cover. Let stand 40 minutes. Drain thoroughly in a colander. Squeeze dry with hands. 
2. Combine the bulgur, parsley, mint, green onion, yellow onion and tomatoes in a large bowl. 
3. Whisk together the lemon juice, olive oil, salt and cinnamon in a 2-cup glass measure. Gently stir until well blended. Serve on a bed of lettuce, or with endive leaves for scooping, or on half a papaya (with seeds removed).

Note: To prepare the tabbouleh 1 to 2 hours ahead, mix all the ingredients together, except the tomato and the oil. Refrigerate, covered. To serve, gently mix in the tomato and oil until well blended.

Makes 8 servings"
Tahini,Boas,sauce,"8 big spoons of plain tahini (Tahini oil)
garlic
salt
lemon juice
parsley flakes

Stir the tahini in a bowl and while stirring add some lemon juice slowly (by that the tahini have two changes: first of all it becomes thin and change its color to white) until the taste is sour enough. 
Add water until it's thin enough, add the garlic, parsley and salt. 
In the end, put on the top some hot paprika and black pepper"
Tarragon Chicken Casserole,Mom,main,"Serves 4 to 6.

In a rectangular baking pan arrange the cut pieces of 2 1/2 to 3 lbs. broiler chicken, skin side up, do not overlap pieces. Chop 1 or 2 medium sized onions and scatter over chicken along with 1 1/2 t. tarragon, 1/4 t. poultry seasoning, 1 1/4t. salt, 1/4 t. pepper. Mix one can (10 1/2 oz.) cream of chicken soup with 1/4 c. milk and spoon over chicken.

Bake in a moderately hot oven. (375) for 40 min. Sprinkle chicken with about c. sliced or slivered almonds, if desired. Bake 10 minutes more or until chicken is tender
"
Turkey Marsala,Georgia Wright,main,"Thin slices cut in small pieces (can pound dices but not necessary) 

Toss with flour, salt and pepper Frown in butter (or oil) -- some garlic in butter first,

Add 1/3 to 1/2 cup each beef bouillon or stock marsala 

Scrape up bits and simmer for 10 minutes (plus)."
Turkey Stuffing,Joe Skillan,main,"1 cup breadcrumbs
2 eggs
1/2 t. cinnamon, allspice and sage (each) 
1 c. of corn for popping 
1/2 c. milk

Rub inside of turkey with garlic and end of cut lemon. Mix all of the ingredients above together until well mixed. Stuff loosely into cavity. Cover bird with aluminum foil and set on top shelf of oven. Set at 400. Lift foil frequently and baste, but keep out of the way of the turkey because as soon as the corn starts to pop, it will blow the turkey's ass halfway across the room.
"
Ukranian Poppy Seed Cake,Mary Reed Newland,bread,"3/4 cup poppy seeds
3/4 cup milk
3/4 cup shortening
1 cup sugar
1/4 teaspoon salt
2 cups sifted flour
2 teaspoons baking powder
3 eggs
1 teaspoon vanilla

Soak the poppy seeds in milk 5 to 6 hours. Cream shortening and sugar. Add 1 egg yolk at a time and beat well after each addition. Add vanilla, milk with poppy seeds, then flour sifted together with baking powder and salt. Mix well. egg whites beaten stiffly. Add Bake at 375 degrees about 30 to 40 (50) minutes in 9"" tube pan.""

Note: This recipe is from Mary Reed Newland's The Year and Our Children: ""...a special poppy seed cake which is traditional with the Ukrainians at both Easter and Christmas time. So far the only reason suggested for its infrequent appearance is that perhaps poppy seeds were expensive or hard to find, and thus were saved for great feasts....We like to bake the poppy seed cake for Easter because it reminds us of the whole lesson of Lent, the seed thrust into the ground to die, that it might live. We have this recipe from a Ukrainian lady....The circle of the cake, baked in the tube pan, is like the circle of eternity--and that is the point of death to self: to live forever.""

You may sift powdered sugar over it, or ice it with a thin confectioner's sugar icing, or serve it plain. It is nice plain, rather like a pound cake.
"
Veal and Noodles,Mom,main,"2 T. butter or marg. 
2 medium-sized veal cutlets, cut in strips
1 clove garlic, minced or mashed 
1/2 t. salt
dash pepper 
1/4 t. rosemary (opt.) or tarragon, marjoram, basil or summer savory
1/4 c. water c. sour cream
1/2 t. paprika
1 1/2 c. cooked noodles.

Melt butter or margarine over medium heat (electric fry 400)
Put in veal; sprinkle with garlic, salt, pepper, and rosemary. Brown quickly on both sides (about 4 to 5 min. total). Reduce heat, add water, cover and simmer for 30-45 minutes. or until meat is very tender. Turn off heat; stir in sour cream paprika, noodles, cover pan and leave over heat for just a few minutes until mixture is heated enough. Serve immediately. You might sprinkle each serving with paprika. 

Makes 2 servings.
"
Veal Pocket,Grandma,main,"1 veal breast with pocket (2 lbs.)

Stuffing:
4 slices stale bread
1/2 lb. ground pork
3 eggs
1 T. chopped parsley
salt and pepper
1/2 chopped onion

Stuff; nails (4); bake at least 2 hours. Cover then uncover 1/2 hour. 350.

Good with cranberry sauce.
"
Vernie's Chili,,main,"1 lb. ground beef
1 1g. onion 
1 green pepper

Cook until tender.

Add:
2 cans kidney beans
2 cans tomato soup
1 can water 
1 t. chili powder
1 t. salt 

Cook slowly 1 1/2 hours (simmer)
"
Welsh Rarbbit (Rabbit),Trisha Clark Pfaff,main,"? T butter
1 lb. sharp Cheddar cheese, shredded 
1/2 tsp. dry mustard
dash cayenne
1/2 tsp. salt 
1 tsp. Worcestershire sauce.
1/2 cup beer
2 eggs, slightly beaten
8 slices toast
parsley

Mix butter in top pan double boiler over direct heat. Add cheese and heat stirring til melted. Pour over boiling water; add seasoning and pour in beer mixed and add eggs. Cook til smooth and thick, stirring frequently. Serve on toast, garnish with parsley. (If too thick add more beer)
"
White Bread,Simpsons,bread,"Proof yeast:
1 pkg yeast w/ 1 T. sugar and 1/4 c. warm water

Combine
3 c. flour w/ 1 T. salt

Add yeast mixture and 1 c. warm water. stir.

Knead and let rise for 2 1/2 hours -- or until doubled.

Punch and divide into 1 large or two small pans. Let rise another hour. Brush the loaf w/ 1 T. water and 1 egg white and bake in a 400 oven for 35-45 minutes (until brown and hollow).

Makes 1 loaf
"
Whole Wheat Quick Bread,"Christina Campbell, Williamsburg",bread,"Sift into a bowl:

2 c. whole wheat flour
1 t. baking soda
2 t. baking powder
1 t. salt

Add:
1/2 c. soy flour 
6 T. corn oil
1 1/3 c. sour milk (1 c. milk w/ 2 t. vinegar)
1/2 c. molasses (or honey) 
1/4 c. wheat germ
1/4 c. instant dry milk

Stir well. Spoon into buttered 9x5 loaf pan. Let stand for 20 minutes. Bake for 35 minutes, or until bread is nicely browned and tests dry with a toothpick. A lovely bread especially for breakfast.
"
Wine Cake,Aunt Florence,dessert,"1 box cake mix (yellow) 
1 3oz. instant vanilla pudding
4 eggs
3/4 c. sherry wine.
3/4 cup salad oil
1 tsp. salad oil 
1 tsp. cinnamon.
1 tsp. nutmeg

Combine all ingredients in mixer bowl, blend. then beat at high speed for 5 min. Grease a tube or Bundt pan (grease well) Bake at 350 for 50-60 minutes. Cool in pan for 15 minutes. Turn out on rack.
"
XMas Pineapple Cookies,Grandma,dessert,"4 cups flour
1 lb. Oleo
1/2 pt. sour cream
pineapple preserves

Cut Oleo into flour--add sour cream.

Mix these 3 ingredients like pie crust. Then roll into a ball. Refrigerate overnight.

Roll out like pie crust on powdered sugar and cut into 2 in. squares. Pineapple preserves are used for silling.

Place about 1/2 t. - t. on each square. Fold two opposite corners to the center and pinch together. Place on ungreased cookie sheet.

Bake 15 minutes or until lightly browned at 350.

Makes 3 dozen!"
Yogurt,Jill Halsey,breakfast,"1. Mix 2 t. unflavored gelatin with 1 cup boiling water. Add 1 T. sugar or honey.
2. Turn on oven to 270.
3. Mix 3 cups powdered milk with 2 cups water.
4. Add 1 large can evaporated milk
5. Add 1 cups water.
6. Add 3 T. yogurt.
7. Then add gelatin.
8. Turn off oven. Put in oven covered. Do not disturb. Let set for 8-10 hours in oven.

Makes 2 quarts"
Zucchini Bread,Barbara Smith,bread,"3 eggs, beaten 1 c. oil
2 c. sugar (usually less if doubled, use 3 c.)
2 c. grated zucchini
3 tsp. vanilla
3 c. sifted flour 1 t. salt
1 t. baking soda t. baking powder
3 t. cinnamon
nuts if desired

Mix in order given and bake in 2 9x5 inch baking pans for an hour in a 350 oven. Makes 2 loaves.
"
